,Name Romaji,Name Native,Name English,Synonyms,Format,Chapter Count,Volume Count,Status,Start Date,Start Year,End Date,Average Score,Mean Score,Popularity,Favorites,Source,Genre_One,Genre_Two,Genre_Three,Tag_One,Tag_Two,Tag_Three,Rating 10,Rating 20,Rating 30,Rating 40,Rating 50,Rating 60,Rating 70,Rating 80,Rating 90,Rating 100,Rating Rank,Rating Number,Popularity Rank,Popularity Number,Related 1 Type,Related 2 Type,Has Anime,Anime Release Date,Name Word Count,Link
0,Kuma Kuma Kuma Bear,くまクマ熊ベアー,Kuma Kuma Kuma Bear,The Bears Bear a Bare Kuma,Light Novel,,,Releasing,"May 29, 2015",2015,,72,78,1323,87,Original,Adventure,Comedy,Fantasy,,,,2,1,2,4,14,19,44,64,58,46,#23 Highest Rated 2015,23.0,#24 Most Popular 2015,24.0,Manga · Releasing,TV · Finished,True,2020.0,4,https://anilist.co/manga/97929/Kuma-Kuma-Kuma-Bear/
0,Kimi no Na wa. Another Side: Earthbound,君の名は。 Another Side：Earthbound,your name. Another Side: Earthbound,,Light Novel,4,1,Finished,"Jul 30, 2016",2016,,70,76,1297,21,Anime,Drama,Supernatural,,,,,1,2,3,7,12,18,55,79,65,23,#17 Highest Rated 2016,17.0,#12 Most Popular 2016,12.0,Movie · Finished,Manga · Finished,True,2016.0,7,https://anilist.co/manga/97789/Kimi-no-Na-wa-Another-Side-Earthbound/
0,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Shinden no Miko Minarai,本好きの下剋上~司書になるためには手段を選んでいられません~ 第二部「神殿の巫女見習い」,Ascendance of a Bookworm: Part 2,"Honzuki no Gekokujou Part 2
Ascendance of a Bookworm ~I'll do anything to become a librarian~ Part 2 Apprentice Shrine Maiden",Light Novel,105,4,Finished,"Sep 25, 2015",2015,"Jun 10, 2016",83,88,1292,109,Original,Fantasy,Slice of Life,,,,,1,3,,,3,8,28,57,148,157,#28 Highest Rated All Time,28.0,#2 Highest Rated 2015,2.0,Manga · Releasing,TV · Finished,True,2020.0,19,https://anilist.co/manga/110800/Honzuki-no-Gekokujou-Shisho-ni-Naru-Tame-ni-wa-Shudan-wo-Erandeiraremasen-Dai-2bu--Shinden-no-Miko-Minarai/
0,"Sentouin, Hakenshimasu!",戦闘員、派遣します！,Combatants Will Be Dispatched!,นักรบสายป่วนออกปฏิบัติกวน,Light Novel,,,Releasing,"Nov 1, 2017",2017,,64,72,1284,36,Original,Action,Adventure,Comedy,,,,3,2,,4,9,12,36,38,24,15,#24 Highest Rated 2017,24.0,#10 Most Popular 2017,10.0,Manga · Releasing,TV · Finished,True,2021.0,2,https://anilist.co/manga/101809/Sentouin-Hakenshimasu/
0,"JoJo's Bizarre Adventure 2: Golden Heart, Golden Ring",ジョジョの奇妙な冒険II ゴールデンハート／ゴールデンリング,,"Le bizzarre avventure di JoJo: Golden Heart, Golden Ring
GioGio's Bizarre Adventure 2: Golden Heart, Golden Ring",Light Novel,8,1,Finished,"May 28, 2001",2001,,64,70,1286,21,Original,Action,Adventure,,,,,4,1,2,,17,22,67,42,17,17,#2 Highest Rated 2001,2.0,#2 Most Popular 2001,2.0,Manga · Finished,,False,,8,https://anilist.co/manga/65907/JoJos-Bizarre-Adventure-2-Golden-Heart-Golden-Ring/
0,Kyoukaisenjou no Horizon,境界線上のホライゾン,,"Horizon on the Middle of Nowhere
Kyokai Senjou no Horizon
Genesis Series",Light Novel,872,29,Finished,"Sep 10, 2008",2008,"Dec 7, 2018",65,80,1276,29,Original,Action,Comedy,Drama,,,,1,1,,6,1,3,9,18,16,24,#14 Highest Rated 2008,14.0,#5 Most Popular 2008,5.0,TV · Finished,TV · Finished,True,2011.0,3,https://anilist.co/manga/54464/Kyoukaisenjou-no-Horizon/
0,Yakusoku no Neverland: Mama-tachi no Tsuisoukyoku,約束のネバーランド～ママたちの追想曲～,,"The Promised Neverland: Moms' Song of Remembrance
The Promised Neverland - Wspomnienia mamy i siostry
The Promised Neverland: La balada de los recuerdos de las madres
The Promised Neverland: La canzone dei ricordi
THE PROMISED NEVERLAND บทเพลงรำลึกอดีตของเหล่าหม่าม้า
Miền đất hứa - Khúc ca xưa của Isabella và Krone",Light Novel,2,1,Finished,"Jan 4, 2019",2019,,69,77,1274,14,Manga,Mystery,Psychological,Supernatural,,,,1,1,1,1,6,15,44,45,39,28,#10 Highest Rated 2019,10.0,#10 Most Popular 2019,10.0,Light Novel · Finished,Light Novel · Finished,False,,6,https://anilist.co/manga/115454/Yakusoku-no-Neverland-Mamatachi-no-Tsuisoukyoku/
0,Kubitsuri High School: Zaregotozukai no Deshi,クビツリハイスクール　戯言遣いの弟子,Suspension: Kubitsuri High School – The Nonsense User's Disciple,"Hanging High School
Zaregoto Series
Lời nói đùa",Light Novel,8,1,Finished,"Aug 6, 2002",2002,,74,76,1272,28,Original,Comedy,Drama,Mystery,Crossdressing,School,Philosophy,2,3,3,7,16,47,132,196,127,55,#5 Highest Rated 2002,5.0,#4 Most Popular 2002,4.0,Light Novel · Finished,Light Novel · Finished,False,,6,https://anilist.co/manga/143839/Kubitsuri-High-School-Zaregotozukai-no-Deshi/
0,Ore wo Suki nano wa Omae dake ka yo,俺を好きなのはお前だけかよ,,"OreSuki
อุตส่าห์มีคนมาชอบทั้งที ทำไมต้องเป็นยัยนี่ด้วยนะ",Light Novel,,17,Finished,"Feb 10, 2016",2016,"Jan 8, 2022",63,74,1272,18,Original,Comedy,Romance,,,,,,,6,3,3,16,23,23,27,15,#28 Highest Rated 2016,28.0,#13 Most Popular 2016,13.0,Manga · Finished,TV · Finished,True,2019.0,9,https://anilist.co/manga/96855/Ore-wo-Suki-nano-wa-Omae-dake-ka-yo/
0,Toaru Majutsu no Index SS,とある魔術の禁書目録 SS,A Certain Magical Index SS,"To Aru Majutsu no Kinsho Mokuroku SS
A Certain Magic Index SS
อินเดกซ์คัมภีร์คาถาต้องห้าม เล่ม SS",Light Novel,28,2,Finished,"Jul 10, 2007",2007,"Nov 8, 2008",74,77,1253,14,Original,Comedy,Supernatural,,,,,3,7,2,4,16,34,87,176,92,57,#2 Highest Rated 2007,2.0,#4 Most Popular 2007,4.0,TV · Finished,Manga · Releasing,True,2010.0,5,https://anilist.co/manga/61651/Toaru-Majutsu-no-Index-SS/
0,Mahou Shoujo Ikusei Keikaku,魔法少女育成計画,Magical Girl Raising Project,"MahouIku
เกมพิฆาตสาวน้อยเวทมนตร์",Light Novel,11,1,Finished,"Jun 8, 2012",2012,,73,80,1253,58,Original,Action,Fantasy,Mahou Shoujo,Battle Royale,Death Game,Magic,,1,3,1,12,15,27,59,78,31,#8 Highest Rated 2012,8.0,#15 Most Popular 2012,15.0,TV · Finished,Manga · Finished,True,2016.0,4,https://anilist.co/manga/91588/Mahou-Shoujo-Ikusei-Keikaku/
0,"""Bungaku Shoujo"" to Shinitagari no Pierrot",“文学少女”と死にたがりの道化【ピエロ】,Book Girl and the Suicidal Mime,"Literature Girl
สาวน้อยวรรณกรรม กับตัวตลกที่อยากตาย",Light Novel,8,1,Finished,"Apr 28, 2006",2006,,70,78,1242,27,Original,Drama,Mystery,Romance,,,,2,,5,4,6,17,39,46,51,30,#6 Highest Rated 2006,6.0,#6 Most Popular 2006,6.0,OVA · Finished,Movie · Finished,True,2009.0,6,https://anilist.co/manga/40000/Bungaku-Shoujo-to-Shinitagari-no-Pierrot/
